Red,Green,Blue
119.9142002073711,126.60083419737958,134.0551889904798
120.46559524931662,127.1605476482232,134.47033179376
120.44509378829297,126.74681873880667,134.75268639834104
119.87576585917617,126.038080874729,134.15319540013198
119.0230229050806,125.1245404844943,133.51124045621643
116.13549816193797,121.47895654632859,132.9322273541333
114.7866669808653,120.27497879159205,132.5192053916486
113.34833631822038,119.04590442077482,132.0559430672071
108.07986143840135,114.89808181732491,129.20308228862288
106.86193326420964,113.60269582430013,128.49985861061364
105.31890376095768,112.10703176548213,127.68437175982656
103.76385615986426,110.50600904892073,125.83909887831086
103.53935337920633,110.2894005090018,125.6522292393251
103.13090300688096,109.9938495616929,125.4857903666698
103.97108587048733,110.43036572721275,125.65135733810915
106.32745781883307,112.02886699971722,126.73020548590819
106.92982373456499,112.58752003016306,127.04159204449053
108.95494391554341,114.561763596946,127.20774813837308
109.92336695258743,115.5067395607503,127.55912432840042
114.1689367518145,119.11188613441418,128.95041945517957
116.02608634178527,120.48324535771515,129.48218493731738
120.55900650391177,124.68423037044019,130.66429446696202
121.15109812423414,125.176265435008,130.78211895560372
122.88905646149496,126.08620039589029,130.9825384107833
122.88905646149496,126.08620039589029,130.9825384107833
126.47176925252144,128.321566594401,131.5400603261382
127.54255820529738,129.166203223678,132.16071260250732
130.6083278348572,131.6541379960411,133.94709680459988
131.88820812517673,132.74106890376095,134.6609482514846
133.03372136864925,133.9129512677915,135.45697049674806
134.95873786407768,135.702116127816,136.70440192289564
136.48920727684043,137.0087425770572,137.57455933641248
137.74901027429542,138.18385333207655,138.12225468941466
140.16139598454143,140.61247525685738,139.40906305966632
142.90840324252991,143.0770807804694,140.71330945423696
143.4198557828259,143.40651805071167,140.84527288151568
142.0039117730229,142.19391554340655,140.19997172212274
140.8651380903007,141.01484588556886,139.57269770949193
139.13354227542652,139.47202846639647,138.7283909887831
133.995923272693,134.20786596286172,135.52302290508058
133.995923272693,134.20786596286172,135.52302290508058
130.7182345178622,130.56148081817324,133.1606890376096
114.4485342633613,113.84762937128853,123.95324724290697
109.81388443774154,109.46971910641908,122.07920162126496
105.18783579979262,105.29305306814969,120.854180412857
101.28513526251297,101.99771420492036,120.46293241587331
99.7179988688849,100.532095390706,120.43936751814498
99.36867282495994,100.07262701479875,120.19000377038364
100.30533037986615,100.50697520972759,120.26406824394383
106.82811763596946,106.94514091808841,125.19841643887266
108.01955886511452,108.34501366764069,126.12854651710812
108.8255726270148,108.92134037138278,126.47085022151003
108.7909793571496,109.00655104156849,126.46717409746442
108.56713639362805,108.7961400697521,126.18276934678103
107.91130172495052,108.19038080874729,125.76699029126213
106.75539636157978,106.94462249033839,124.79079083796776
104.8324771420492,105.048143086059,123.22414930719201
96.93910830426996,97.29163917428599,117.03216608539918
95.32635026863983,96.28501743802433,116.28155339805825
95.88787821660854,97.15753134131398,116.72158073333962
99.9055518899048,100.61827222169856,117.63528607785842
105.334055990197,105.71750400603261,119.45621642002074
110.91580262041663,111.16398812329155,121.83968800075408
127.55525968517297,128.44429258177018,127.29510321425205
131.3407719860496,132.07248562541238,129.26564709209163
134.96495899707796,135.4232726929965,131.25388820812518
138.06873880667357,138.1366764068244,132.60029220473183
140.96189556037328,140.66290413799604,134.25186162692054
143.48392873974927,142.89162503534735,135.75638608728437
145.2936421905929,144.63571024601754,137.05591950230937
147.46477047789614,146.83360825714016,138.92082194363277
147.67784428315582,146.98239702139693,139.2602271656141
147.70091431803186,147.02790083891037,139.27446036384202
147.77820718258081,147.13085587708548,139.31532189650298
147.83763785465172,147.19243095484967,139.31155151286643
147.89188424922236,147.19917051559997,139.38212838156284
147.90830898293902,147.22381939862382,139.3822697709492
147.92789141295125,147.27632199076257,139.35538222264114
147.89638514468848,147.2608162880573,139.39737487039307
147.896078801018,147.16358752003018,139.3989065887454
147.88919785088132,147.1404232255632,139.40993496088228
147.74177585069282,147.08268922612876,139.29170986897918
147.66566123103027,147.03058723725138,139.29753039871807
147.66210293147327,146.99938731265905,139.2934772363088
147.56492129324158,146.92614761051937,139.2053445188048
147.41537845225753,146.72146290885098,139.0211141483646
147.32484211518522,146.7093269865209,138.88406070317654
147.27632199076257,146.6485766801772,138.86452540295974
147.28211895560372,146.59998586106136,138.77754736544443
150.176006221133,149.76418606843245,143.37852295221037
150.62684984447168,150.00629182769347,144.0147280610802
150.92190592892828,150.12475256857385,144.21816382316902
150.91339900084833,150.12750966160806,144.20675841266848
150.90218210952963,150.10717315486852,144.2647987557734
150.77575643321708,150.04135639551325,144.17348477707606
150.78464039966067,149.9838816099538,144.10903478178903
150.53822226411538,149.78567725516072,143.9733009708738
150.44306720708832,149.67473371665568,143.79585729097937
150.44306720708832,149.67473371665568,143.79585729097937
150.41669808653032,149.60248374022058,143.79859081911584
150.33167593552645,149.5450560844566,143.6565416156094
150.10182392308417,149.3371194269017,143.4663493260439
150.09074842115186,149.2954802526157,143.47669431614668
150.03372136864925,149.21811669337356,143.38613441417664
149.9741257422943,149.1677820718258,143.3388867942313
149.93719954755397,149.1405881798473,143.35745593364126
149.86909699311906,149.08417381468564,143.29576303138845
149.85795079649355,149.0829720049015,143.27208030917146
149.83914600810633,149.0644264303893,143.272292393251
149.77347063813744,149.04359506079743,143.17362616646244
149.64678574794985,148.90361956829108,143.06305966632104
149.6165519841644,148.88738335375623,143.05210198887738
149.57842397963992,148.80650862475258,143.01140541050052
149.53329720049015,148.7852530870016,142.97881515694223
149.516047695353,148.79137996041098,142.9969129983976
149.36940333678953,148.63684136110848,142.81006692430955
149.37557733999435,148.5965218210953,142.82642096333302
149.38267037421056,148.60062211330003,142.7659534357621
149.30714487699123,148.55655575454801,142.74568762371572
149.2968705815817,148.52603921198983,142.701856913941
149.233952304647,148.5103921198982,142.65321896502968
148.97520972758977,148.21927137336223,142.34206805542465
148.87402205674428,148.13846733905174,142.31650014138938
148.87484682816478,148.1125695164483,142.25787067584127
148.74288340088603,148.0163776039212,142.17577057215573
148.68844848713357,147.94311433688378,142.11405410500518
148.64761051937035,147.92362616646244,142.04969836930908
148.60095202186824,147.84534357620888,141.96255537750966
148.5460458101612,147.801960599491,141.9085446319163
148.36808370251674,147.62449335469884,141.82036478461683
148.25381751343198,147.55624941087757,141.7197426713168
148.2049439155434,147.51880478838723,141.66905457630313
148.1502262230182,147.45107927231595,141.6361815439721
148.12725044773305,147.37960693750588,141.50252144405692
148.02087849938732,147.32809407107172,141.48098312753322
