Current time: Date / HH:MM:SS,Red Difference,Green Difference,Blue Difference,Color Table Row Number,Colors per Second Table Row Number,"Color Detected (red=0, green=1, blue=2)"
2025-01-10 10:27:43.788538,15.04453765670658,9.101281930436414,2.6492129324158498,32,2,0
2025-01-10 10:27:45.363940,31.15515128664343,31.291238571024593,18.11834291639174,63,3,0
2025-01-10 10:27:46.863757,39.9975963804317,38.96352153831651,22.367070411914398,94,4,0
2025-01-10 10:27:48.388818,2.0273352813648557,1.994603638420216,2.0069280799321234,125,5,1
2025-01-10 10:27:49.857426,2.5063389574889072,2.3817984729946318,2.5296917711377205,156,6,1
